group,seed,strategies,trust_budget_init,enable_r1,payoff_avg,eta_global,eta_final,total_heat,heat_efficiency,nash_lock_rate,up_attempt_rate,up_success_rate,r1_pct,eta_first_half,eta_second_half,exploitation_rate,unilateral_invite_count,joint_enter_count,heat_wasted_unilateral
G1_R0_only,0,nash_breaker-nash_breaker,0,False,2.85,0.6950000000000001,0.15,176,253.23741007194243,0.05,0.0,0.0,0,0.8,0.5900000000000001,0.1,0,0,0
G1_R0_only,1,nash_breaker-nash_breaker,0,False,1.4,0.4,0.3,148,370.0,0.8,0.0,0.0,0,0.5,0.3,0.0,0,0,0
G1_R0_only,2,nash_breaker-nash_breaker,0,False,1.1,0.325,0.3,142,436.9230769230769,0.95,0.0,0.0,0,0.35,0.3,0.0,0,0,0
G1_R0_only,3,nash_breaker-nash_breaker,0,False,1.35,0.32,0.3,146,456.25,0.8,0.0,0.0,0,0.34,0.3,0.1,0,0,0
G1_R0_only,4,nash_breaker-nash_breaker,0,False,1.35,0.32,0.3,146,456.25,0.8,0.0,0.0,0,0.34,0.3,0.1,0,0,0
G2_R1_tb0,0,nash_breaker-nash_breaker,0,True,2.85,0.6950000000000001,0.15,176,253.23741007194243,0.05,0.0,0.0,0,0.8,0.5900000000000001,0.1,0,0,0
G2_R1_tb0,1,nash_breaker-nash_breaker,0,True,1.4,0.4,0.3,148,370.0,0.8,0.0,0.0,0,0.5,0.3,0.0,0,0,0
G2_R1_tb0,2,nash_breaker-nash_breaker,0,True,1.1,0.325,0.3,142,436.9230769230769,0.95,0.0,0.0,0,0.35,0.3,0.0,0,0,0
G2_R1_tb0,3,nash_breaker-nash_breaker,0,True,1.35,0.32,0.3,146,456.25,0.8,0.0,0.0,0,0.34,0.3,0.1,0,0,0
G2_R1_tb0,4,nash_breaker-nash_breaker,0,True,1.35,0.32,0.3,146,456.25,0.8,0.0,0.0,0,0.34,0.3,0.1,0,0,0
G3_R1_tb2,0,nash_breaker-nash_breaker,2,True,2.85,0.6950000000000001,0.15,182,261.87050359712225,0.05,0.05,0.0,0,0.8,0.5900000000000001,0.1,1,0,3
G3_R1_tb2,1,nash_breaker-nash_breaker,2,True,1.55,0.37,0.3,162,437.83783783783787,0.7,0.1,0.0,0,0.44,0.3,0.1,2,0,6
G3_R1_tb2,2,nash_breaker-nash_breaker,2,True,1.75,0.49,0.3,180,367.34693877551024,0.7,0.1,1.0,0.2,0.68,0.3,0.0,0,2,0
G3_R1_tb2,3,nash_breaker-nash_breaker,2,True,1.9,0.45,0.3,177,393.3333333333333,0.6,0.1,0.5,0.15,0.6,0.3,0.1,1,1,3
