topology,strategy,trust_budget,eta_global,eta_final,payoff_avg,total_heat,nash_lock_rate,r1_pct,joint_enter_rounds,closed_agents,unilateral_invite_count,seeds
RING,nash_breaker_x2,0,0.663,0.668,1.5,0.0,0.36,0.0,0.0,0.0,0.0,5
RING,nash_breaker_x2,2,0.786,0.639,1.56,7.2,0.34,0.9,0.6,0.2,2.4,5
RING,nash_breaker_x2,4,0.786,0.639,1.56,7.2,0.34,0.45,0.6,0.2,2.4,5
RING,nash_breaker_x2,6,0.797,0.673,1.57,8.8,0.34,0.367,0.8,0.2,2.4,5
RING,adaptive_x2,0,0.629,0.644,2.16,0.0,0.15,0.0,0.0,0.0,0.0,5
RING,adaptive_x2,2,0.722,0.485,1.68,10.4,0.29,1.3,1.0,1.4,2.8,5
RING,adaptive_x2,4,0.722,0.485,1.68,10.4,0.29,0.65,1.0,1.4,2.8,5
RING,adaptive_x2,6,0.722,0.485,1.7,16.0,0.29,0.666,1.4,1.4,3.2,5
RING,aggressive_cautious,0,0.605,0.616,2.31,0.0,0.02,0.0,0.0,0.0,0.0,5
RING,aggressive_cautious,2,0.513,0.42,1.78,10.4,0.14,1.3,0.4,1.6,4.8,5
RING,aggressive_cautious,4,0.513,0.42,1.78,10.4,0.14,0.65,0.4,1.6,4.8,5
RING,aggressive_cautious,6,0.483,0.399,1.52,12.0,0.15,0.5,0.4,1.8,5.6,5
RING,nash_breaker_cautious_mix,0,0.653,0.66,1.63,0.0,0.28,0.0,0.0,0.0,0.0,5
RING,nash_breaker_cautious_mix,2,0.625,0.531,1.64,9.6,0.25,1.2,0.4,1.0,4.8,5
RING,nash_breaker_cautious_mix,4,0.625,0.531,1.64,9.6,0.25,0.6,0.4,1.0,4.8,5
RING,nash_breaker_cautious_mix,6,0.584,0.477,1.64,12.0,0.25,0.5,0.6,1.4,6.0,5
CENTER,nash_breaker_x2,0,0.6533,0.6467,1.6,0.0,0.34,0.0,0.0,0.0,0.0,5
CENTER,nash_breaker_x2,2,0.7607,0.684,1.68,7.6,0.31,0.95,0.6,0.0,1.0,5
CENTER,nash_breaker_x2,4,0.7693,0.684,1.71,8.4,0.3,0.525,0.8,0.0,1.4,5
CENTER,nash_breaker_x2,6,0.7693,0.684,1.71,8.4,0.3,0.35,0.8,0.0,1.4,5
CENTER,adaptive_x2,0,0.6173,0.5693,2.37,0.0,0.1,0.0,0.0,0.0,0.0,5
CENTER,adaptive_x2,2,0.7673,0.5693,2.38,12.0,0.1,1.5,1.0,0.0,1.6,5
CENTER,adaptive_x2,4,0.728,0.527,1.48,16.0,0.42,1.0,2.0,1.0,3.6,5
CENTER,adaptive_x2,6,0.728,0.527,1.48,16.0,0.42,0.667,2.0,1.0,3.6,5
CENTER,aggressive_cautious,0,0.6067,0.588,2.37,0.0,0.02,0.0,0.0,0.0,0.0,5
CENTER,aggressive_cautious,2,0.5647,0.5273,2.13,3.6,0.12,0.45,0.0,0.4,1.8,5
CENTER,aggressive_cautious,4,0.6043,0.581,2.14,6.0,0.07,0.375,0.4,0.6,3.0,5
CENTER,aggressive_cautious,6,0.6043,0.581,2.14,6.0,0.07,0.25,0.4,0.6,3.0,5
CENTER,nash_breaker_cautious_mix,0,0.652,0.6467,1.79,0.0,0.3,0.0,0.0,0.0,0.0,5
CENTER,nash_breaker_cautious_mix,2,0.646,0.552,1.77,8.0,0.27,1.0,0.4,0.8,4.0,5
CENTER,nash_breaker_cautious_mix,4,0.706,0.552,1.76,8.8,0.27,0.55,0.8,0.8,4.4,5
CENTER,nash_breaker_cautious_mix,6,0.706,0.552,1.76,8.8,0.27,0.367,0.8,0.8,4.4,5
