pair,trust_budget,eta_global_avg,eta_global_std,eta_global_ci95_lo,eta_global_ci95_hi,nash_lock_rate,joint_invites_avg,unilateral_avg,closed_end_avg,total_heat_avg,elevation_success,n_seeds
nash_breaker¡Ánash_breaker,0,0.68,0.0086,0.6765,0.6837,0.613,0,0,0,40,0.0,20
nash_breaker¡Ánash_breaker,2,0.9495,0.0984,0.9013,0.9828,0.562,0.9,0.2,0,44,0.9,20
nash_breaker¡Ánash_breaker,4,0.9338,0.0757,0.9005,0.9653,0.517,1.6,0.6,0,47.8,0.85,20
nash_breaker¡Ánash_breaker,6,0.9338,0.061,0.9068,0.9595,0.478,2.4,0.8,0,51.3,0.85,20
nash_breaker¡Ánash_breaker,8,0.942,0.0489,0.9197,0.9615,0.463,2.9,0.8,0,53.2,0.875,20
nash_breaker¡Ácautious,0,0.673,0.0138,0.667,0.6788,0.505,0,0,0,40,0.0,20
nash_breaker¡Ácautious,2,0.6668,0.0143,0.6608,0.673,0.438,0,1.4,0,42.9,0.0,20
nash_breaker¡Ácautious,4,0.5615,0.1172,0.511,0.6103,0.375,0,2.7,0.4,45.4,0.0,20
nash_breaker¡Ácautious,6,0.5593,0.1162,0.5095,0.6075,0.345,0,3.2,0.4,46.4,0.0,20
nash_breaker¡Ácautious,8,0.5577,0.1154,0.5085,0.6053,0.33,0,3.4,0.4,46.8,0.0,20
adaptive¡Áadaptive,0,0.6508,0.0269,0.6395,0.6625,0.11,0,0,0,40,0.0,20
adaptive¡Áadaptive,2,0.7708,0.1621,0.7027,0.8405,0.11,0.4,0.7,0,43,0.4,20
adaptive¡Áadaptive,4,0.7268,0.2035,0.6382,0.8108,0.195,0.8,1.1,0.2,45.5,0.4,20
adaptive¡Áadaptive,6,0.6953,0.2164,0.6048,0.787,0.242,1.2,1.3,0.3,47.4,0.41,20
adaptive¡Áadaptive,8,0.6953,0.216,0.6048,0.787,0.242,1.6,1.4,0.3,49,0.41,20
aggressive¡Ácautious,0,0.6498,0.005,0.6478,0.652,0.24,0,0,0,40,0.0,20
aggressive¡Ácautious,2,0.6498,0.005,0.6478,0.652,0.24,0,0.6,0,41.1,0.0,20
aggressive¡Ácautious,4,0.6123,0.093,0.5727,0.6498,0.24,0,0.7,0.1,41.4,0.0,20
aggressive¡Ácautious,6,0.6123,0.093,0.5727,0.6498,0.24,0,0.7,0.1,41.4,0.0,20
aggressive¡Ácautious,8,0.6123,0.093,0.5727,0.6498,0.24,0,0.7,0.1,41.4,0.0,20
