heat_budget,penalty_global,eta_global,nash_lock_rate,total_heat_avg,joint_invites_avg,penalty_damage_avg,phase,seeds
8,0.0,0.681,0.44,40.0,0.0,0.0,TRANSITION,5
8,0.05,0.637,0.44,57.6,0.0,0.044,TRANSITION,5
8,0.1,0.593,0.44,84.0,0.0,0.088,TRANSITION,5
8,0.15,0.549,0.44,101.6,0.0,0.132,TRANSITION,5
8,0.2,0.505,0.44,128.0,0.0,0.176,TRANSITION,5
8,0.3,0.417,0.44,172.0,0.0,0.264,TRANSITION,5
8,0.4,0.329,0.44,216.0,0.0,0.352,TRANSITION,5
8,0.6,0.209,0.44,304.0,0.0,0.528,DOUBLE_DEFEAT,5
12,0.0,0.681,0.44,40.0,0.0,0.0,TRANSITION,5
12,0.05,0.637,0.44,57.6,0.0,0.044,TRANSITION,5
12,0.1,0.593,0.44,84.0,0.0,0.088,TRANSITION,5
12,0.15,0.549,0.44,101.6,0.0,0.132,TRANSITION,5
12,0.2,0.505,0.44,128.0,0.0,0.176,TRANSITION,5
12,0.3,0.417,0.44,172.0,0.0,0.264,TRANSITION,5
12,0.4,0.329,0.44,216.0,0.0,0.352,TRANSITION,5
12,0.6,0.209,0.44,304.0,0.0,0.528,TRANSITION,5
16,0.0,0.681,0.44,40.0,0.0,0.0,TRANSITION,5
16,0.05,0.637,0.44,57.6,0.0,0.044,TRANSITION,5
16,0.1,0.593,0.44,84.0,0.0,0.088,TRANSITION,5
16,0.15,0.549,0.44,101.6,0.0,0.132,TRANSITION,5
16,0.2,0.505,0.44,128.0,0.0,0.176,TRANSITION,5
16,0.3,0.417,0.44,172.0,0.0,0.264,TRANSITION,5
16,0.4,0.329,0.44,216.0,0.0,0.352,TRANSITION,5
16,0.6,0.209,0.44,304.0,0.0,0.528,TRANSITION,5
20,0.0,0.9638,0.34,48.8,2.0,0.0,ELEVATION,5
20,0.05,0.9298,0.34,62.4,2.0,0.034,ELEVATION,5
20,0.1,0.8958,0.34,82.8,2.0,0.068,ELEVATION,5
20,0.15,0.8618,0.34,96.4,2.0,0.102,ELEVATION,5
20,0.2,0.8278,0.34,116.8,2.0,0.136,ELEVATION,5
20,0.3,0.7598,0.34,150.8,2.0,0.204,ELEVATION,5
20,0.4,0.6918,0.34,184.8,2.0,0.272,ELEVATION,5
20,0.6,0.5558,0.34,252.8,2.0,0.408,TRANSITION,5
30,0.0,0.9638,0.34,48.8,2.0,0.0,ELEVATION,5
30,0.05,0.9298,0.34,62.4,2.0,0.034,ELEVATION,5
30,0.1,0.8958,0.34,82.8,2.0,0.068,ELEVATION,5
30,0.15,0.8618,0.34,96.4,2.0,0.102,ELEVATION,5
30,0.2,0.8278,0.34,116.8,2.0,0.136,ELEVATION,5
30,0.3,0.7598,0.34,150.8,2.0,0.204,ELEVATION,5
30,0.4,0.6918,0.34,184.8,2.0,0.272,ELEVATION,5
30,0.6,0.5558,0.34,252.8,2.0,0.408,TRANSITION,5
50,0.0,0.9638,0.34,48.8,2.0,0.0,ELEVATION,5
50,0.05,0.9298,0.34,62.4,2.0,0.034,ELEVATION,5
50,0.1,0.8958,0.34,82.8,2.0,0.068,ELEVATION,5
50,0.15,0.8618,0.34,96.4,2.0,0.102,ELEVATION,5
50,0.2,0.8278,0.34,116.8,2.0,0.136,ELEVATION,5
50,0.3,0.7598,0.34,150.8,2.0,0.204,ELEVATION,5
50,0.4,0.6918,0.34,184.8,2.0,0.272,ELEVATION,5
50,0.6,0.5558,0.34,252.8,2.0,0.408,TRANSITION,5
80,0.0,0.9638,0.34,48.8,2.0,0.0,ELEVATION,5
80,0.05,0.9298,0.34,62.4,2.0,0.034,ELEVATION,5
80,0.1,0.8958,0.34,82.8,2.0,0.068,ELEVATION,5
80,0.15,0.8618,0.34,96.4,2.0,0.102,ELEVATION,5
80,0.2,0.8278,0.34,116.8,2.0,0.136,ELEVATION,5
80,0.3,0.7598,0.34,150.8,2.0,0.204,ELEVATION,5
80,0.4,0.6918,0.34,184.8,2.0,0.272,ELEVATION,5
80,0.6,0.5558,0.34,252.8,2.0,0.408,TRANSITION,5
160,0.0,0.9638,0.34,48.8,2.0,0.0,ELEVATION,5
160,0.05,0.9298,0.34,62.4,2.0,0.034,ELEVATION,5
160,0.1,0.8958,0.34,82.8,2.0,0.068,ELEVATION,5
160,0.15,0.8618,0.34,96.4,2.0,0.102,ELEVATION,5
160,0.2,0.8278,0.34,116.8,2.0,0.136,ELEVATION,5
160,0.3,0.7598,0.34,150.8,2.0,0.204,ELEVATION,5
160,0.4,0.6918,0.34,184.8,2.0,0.272,ELEVATION,5
160,0.6,0.5558,0.34,252.8,2.0,0.408,TRANSITION,5
