mechanism,trust_budget,eta_global,nash_lock_rate,total_heat,r1_pct,unilateral_count,closed_end,recovered_end,recovery_events
TIMEOUT,0,0.676,0.39,40.0,0.0,0.0,0.0,0.0,0.0
TIMEOUT,2,0.67,0.32,43.2,0.8,1.6,0.0,0.0,0.0
TIMEOUT,4,0.668,0.29,45.6,0.7,2.8,0.0,0.6,0.6
TIMEOUT,6,0.666,0.27,47.2,0.6,3.6,0.0,0.6,0.6
SPONSOR,0,0.676,0.39,40.0,0.0,0.0,0.0,0.0,0.0
SPONSOR,2,0.67,0.32,43.2,0.8,1.6,0.0,0.0,0.0
SPONSOR,4,0.668,0.29,45.6,0.7,2.8,0.0,0.6,0.6
SPONSOR,6,0.666,0.27,47.2,0.6,3.6,0.0,0.6,0.6
LINKAGE,0,0.676,0.39,40.0,0.0,0.0,0.0,0.0,0.0
LINKAGE,2,0.67,0.32,43.2,0.8,1.6,0.0,0.0,0.0
LINKAGE,4,0.518,0.29,45.6,0.7,2.8,0.6,0.0,0.0
LINKAGE,6,0.516,0.27,46.0,0.5,3.0,0.6,0.0,0.0
BASELINE,0,0.676,0.39,40.0,0.0,0.0,0.0,0.0,0.0
BASELINE,2,0.67,0.32,43.2,0.8,1.6,0.0,0.0,0.0
BASELINE,4,0.518,0.29,45.6,0.7,2.8,0.6,0.0,0.0
BASELINE,6,0.516,0.27,46.0,0.5,3.0,0.6,0.0,0.0
